Strategy,Bets,ML_odds,Outright_WR,ML_EV_per_10,ATS_WR,Hcap_EV_per_10,Winner
S9 Triple-Edge Home,226,1.5,81.1,2.16,69.1,3.13,HANDICAP
S15 20g Hot Home,1442,1.3,80.9,0.52,64.1,2.18,HANDICAP
S5 Home Form Edge +5,2162,1.45,79.0,1.45,59.5,1.31,TEAM WINS
S8 Hot Home vs Cold Away (5g),893,1.55,78.7,2.2,56.7,0.78,TEAM WINS
S13 Mild Form Edge,3096,1.6,76.1,2.18,59.6,1.32,TEAM WINS
S16 Mid-Season Form + Szn Lead,1721,1.4,76.1,0.65,58.7,1.14,HANDICAP
S14 Home Consistency,1961,1.35,75.1,0.14,60.8,1.54,HANDICAP
S20 Late-Season Edge >15%,1292,1.55,73.2,1.35,59.1,1.22,TEAM WINS
S11 Form Gap >8,4368,1.4,72.9,0.2,51.8,-0.15,TEAM WINS (handicap loses $)
S4 Win-Rate Gap >25%,4688,1.5,71.0,0.65,52.6,-0.01,TEAM WINS
S6 Dominant Away vs Losing Home,595,2.3,70.7,6.26,45.5,-1.35,TEAM WINS (handicap loses $)
